Sample	Y
sample1	-40.2017557401531
sample2	8.54665090102337
sample3	56.5331742890078
sample4	64.9203128949439
sample5	-15.7717521179651
sample6	22.2770954387868
sample7	-8.41405357937638
sample8	1.69810418031931
sample9	-49.9083466425037
sample10	-2.33852416903483
sample11	4.03920251029808
sample12	18.6304337226817
sample13	-43.5597737799101
sample14	-23.4796233014645
sample15	-44.9621073348542
sample16	-1.98020141702085
sample17	15.3020847519837
sample18	87.5160537743782
sample19	58.7414636152834
sample20	55.3058926885326
sample21	2.61697458894533
sample22	-29.1791469059779
sample23	21.4934122749723
sample24	-42.4691086272467
sample25	39.0144608361744
sample26	16.7461307666707
sample27	24.7984511505368
sample28	-9.4649128145521
sample29	-14.4291323384722
sample30	-61.4385060957417
sample31	-14.7703105290397
sample32	-46.2140593146215
sample33	10.366519178705
sample34	-29.6919921773995
sample35	-22.5377275971689
sample36	19.1283570353061
sample37	30.4570038877876
sample38	-46.2567018787386
sample39	-11.6483494124375
sample40	7.69845477197346
sample41	14.9102329787286
sample42	-60.695810858978
sample43	-6.74976921004464
sample44	-42.2971919484314
sample45	-17.6249780838061
sample46	7.02992928943007
sample47	-18.3666229133002
sample48	-6.31970469476039
sample49	20.778837147781
sample50	-56.2873783693174
