Sample	methy1	methy2	methy3	methy4
sample1	-0.709128571604625	0.784829497724236	0.538408919824937	-0.709238986376631
sample2	-2.01695766045424	0.930540301840019	-0.0763854176510772	1.06412664592531
sample3	0.660893631839084	1.28935634056049	-0.309636634336346	1.79924930119819
sample4	-0.243197362387887	-0.792125673696564	-1.16606448740428	1.72979581070199
sample5	-0.371787246430166	-1.16198165049133	-0.248363061787176	0.776600647471866
sample6	-0.398598852432924	0.0509636588696202	-1.17773355803836	0.268742978587933
sample7	-1.89110772352123	0.309190658918553	0.877622463590573	0.600739737212994
sample8	-0.408480064451735	-0.241471274191544	1.30911654682628	-0.12925253173222
sample9	-0.432321942741061	-0.641425017338076	-0.301522835892645	-1.94571095894966
sample10	-0.794515137183607	0.0505911689448174	-0.353907951412484	1.23487621470752
sample11	0.173931758047804	0.340345431121419	-0.0506487441846361	-0.0830509641142594
sample12	0.60923171130084	1.69385645272706	-0.784512040707599	0.735677963553853
sample13	0.868501823240574	-0.238778236366513	-0.623695534817806	-0.910087958150744
sample14	-0.656679408609954	-0.395710667065692	0.102827548910071	-0.206388251134636
sample15	0.0669191168255961	0.722728815564804	0.677106867476872	-0.83689147966507
sample16	0.0201955992246088	-1.69695271161243	-0.936595695634013	-0.130539854022046
sample17	-1.08077604796339	-0.50244495761267	-0.947592994827108	0.777853945597937
sample18	-0.219597364423587	2.33746143663947	-0.302327640465884	2.00664674637664
sample19	-0.146386509028064	2.06183370425994	0.832065731097181	2.48944642830638
sample20	0.0436420739324914	-0.878943870469783	-1.00020338915147	1.11704231185974
sample21	0.454023147301381	2.03130211220657	-0.554975751817491	0.651298601578236
sample22	0.326361484002845	-0.807414653737239	-0.846139218262085	-2.15621270516898
sample23	2.07679404826706	-0.0855840081387848	0.614006601563158	-0.262645421832984
sample24	0.560810306545121	-1.55066391734735	-0.0553417259003617	-0.911821388405576
sample25	1.18696499523466	-0.69957601052098	1.14983149135156	0.994407611789103
sample26	-1.08562240901473	-0.847557427982291	-0.932171797488995	-0.299205534189186
sample27	1.11845045924978	1.47901864917036	0.254487745788931	0.164286278728112
sample28	-1.21526014249315	0.0354497710253936	-0.815905272669123	-0.0604247085515421
sample29	0.41827718360988	0.0944782472160528	-1.75852366627855	-1.42938312471007
sample30	-1.43409573385151	-0.383682027586717	0.16051531562873	-1.71372599663417
sample31	-1.74009887126676	0.421879629911394	-0.949697223814665	-0.910450196827548
sample32	-0.695487151760814	-0.186215679455958	-0.208301407938438	-2.28023356923815
sample33	-0.73205296013358	0.0192443197140823	0.233393089468188	-0.166769194907245
sample34	-0.942632707580341	-2.12368580854508	-0.64271124409417	-1.40884784974917
sample35	0.681528423439233	-0.462846632265887	1.39555833209275	-1.50730080798909
sample36	0.639572494057959	0.0149387009918836	-0.707550487631759	0.389494261810973
sample37	-0.103534011061391	0.496999868513252	0.174079031880686	0.418927200517497
sample38	0.723136043573793	-0.267071630206182	0.628318831650699	-0.848362297399646
sample39	0.717547116483564	-2.15915718769731	-0.649279124014493	-0.338646864368562
sample40	-0.762437284624175	0.334925601195823	1.47534843090314	0.681993802174585
sample41	-0.0910741763244565	-0.12641240647618	1.77745467690297	-0.0595113500272144
sample42	0.548707219809071	2.13429773117081	-0.634230645423088	-1.620303926115
sample43	0.219867454759712	-1.55782356403378	-0.745036204857522	0.316722336295672
sample44	0.0166218585513981	0.506470215385697	0.330359230935494	-1.03499921792978
sample45	0.301445803213793	-0.674853436611029	0.106608122555598	-0.0857267667603325
sample46	0.0880212949585921	-0.266652259493012	-0.365646391507834	0.748959490932657
sample47	0.166587950155149	-0.27753569655852	0.750206342869387	-1.74336784811978
sample48	1.34156666684908	0.348120879350261	0.087753469606052	0.196353177458224
sample49	1.38286315474853	-0.29414467072146	0.814983780683374	-0.297924714894623
sample50	-0.444801995945323	-0.760908779285424	2.02061814701295	-2.05180567206069
